expense_id,amount,merchant,description,category
E1066,367.27,CVS,medical appointment,Other
E765,301.97,Progressive,life insurance,Insurance
E721,281.72,State Farm,insurance payment,Insurance
E992,173.43,CVS,pharmacy,Other
E362,177.41,AT&T,phone bill,Utilities
E547,2462.94,Housing Authority,housing payment,Rent/Mortgage
E42,58.32,McDonald's,food shopping,Food
E284,44.09,Parking Lot,transportation,Transport
E101,58.44,Subway,supermarket,Food
E1178,1339.67,Booking.com,trip,Travel
E192,37.51,Chipotle,weekly groceries,Food
E842,206.07,Amazon,gadgets,Other
E491,1121.26,Real Estate,apartment rent,Rent/Mortgage
E769,322.7,Allstate,health insurance,Insurance
E619,75.63,HBO Max,gaming,Entertainment
E1210,710.79,Expedia,hotel booking,Travel
E1197,232.65,Airbnb,airfare,Travel
E367,180.71,City Utilities,gas bill,Utilities
E521,2095.09,Mortgage Company,apartment rent,Rent/Mortgage
E1347,100.2,Tire Shop,auto repair,Car
E961,288.06,Amazon,clothing purchase,Other
E785,492.83,Geico,car insurance,Insurance
E565,1808.77,Mortgage Company,house payment,Rent/Mortgage
E1037,57.03,Walgreens,pharmacy,Other
E530,2482.27,Apartment Complex,lease payment,Rent/Mortgage
E673,68.12,HBO Max,netflix subscription,Entertainment
E646,6.51,Disney+,movie ticket,Entertainment
E1345,362.91,Car Dealer,car maintenance,Car
E403,123.14,Verizon,electricity bill,Utilities
E1496,147.35,School,kids necessities,Kids
E1199,147.48,United,flight ticket,Travel
E1067,372.19,Doctor Office,doctor visit,Other
E1074,509.75,Online Course,study materials,School
E153,38.03,KFC,groceries shopping,Food
E1188,585.07,Booking.com,vacation,Travel
E467,74.78,City Utilities,electricity bill,Utilities
E505,1223.19,Apartment Complex,monthly rent,Rent/Mortgage
E504,1272.22,Real Estate,apartment rent,Rent/Mortgage
E1344,498.97,Auto Parts,car maintenance,Car
E866,85.86,Amazon,home goods,Other
E440,186.99,Electric Company,electricity bill,Utilities
E478,1485.85,Apartment Complex,apartment rent,Rent/Mortgage
E1263,340.61,Discover,credit payment,Debt/Loans
E716,17.78,HBO Max,netflix subscription,Entertainment
E678,65.51,Disney+,concert ticket,Entertainment
E85,51.08,Chipotle,dairy products,Food
E1532,527.42,Brokerage,401k contribution,Saving
E350,134.11,Chevron,taxi fare,Transport
E442,190.41,Water Dept,monthly utilities,Utilities
E1320,130.57,Loan Company,credit payment,Debt/Loans
E548,1782.55,Mortgage Company,housing payment,Rent/Mortgage
E1448,140.23,Kids Store,babysitting,Kids
E1402,63.2,Tire Shop,oil change,Car
E335,70.44,Uber,parking fee,Transport
E1082,433.96,Education Center,textbooks,School
E969,33.7,Zara,online shopping,Other
E1291,311.49,Chase,personal loan,Debt/Loans
E407,159.24,Gas Company,gas bill,Utilities
E1464,116.71,Babysitter,daycare,Kids
E1231,654.28,Hotel.com,trip,Travel
E1111,724.03,Education Center,study materials,School
E1303,580.73,Lending Company,personal loan,Debt/Loans
E320,53.86,Gas Station,toll fee,Transport
E1341,54.83,Car Dealer,tire replacement,Car
E665,30.53,Disney+,netflix subscription,Entertainment
E221,33.3,Lyft,parking fee,Transport
E586,76.49,Amazon Prime,music subscription,Entertainment
E508,2229.83,Property Management,rental fee,Rent/Mortgage
E1219,491.62,Expedia,vacation,Travel
E636,9.24,Concert Hall,entertainment subscription,Entertainment
E265,79.17,Shell,bus ticket,Transport
E156,6.72,Local Restaurant,weekly groceries,Food
E1363,78.1,Tire Shop,auto repair,Car
E1439,30.3,Toys R Us,kids activities,Kids
E633,46.67,Concert Hall,netflix subscription,Entertainment
E1038,148.09,Dentist,pharmacy,Other
E705,70.1,Disney+,streaming service,Entertainment
E1446,148.48,Daycare,children supplies,Kids
E383,85.03,Internet Provider,home utilities,Utilities
E964,264.49,Target,online shopping,Other
E897,134.94,Walmart,shoes,Other
E1264,266.0,Capital One,credit card payment,Debt/Loans
E296,125.56,Exxon,uber ride,Transport
E889,73.75,H&M,online shopping,Other
E184,16.05,Diner,coffee,Food
E415,94.26,Verizon,monthly utilities,Utilities
E430,291.0,City Utilities,power bill,Utilities
E534,1001.32,Property Management,rent payment,Rent/Mortgage
E91,46.56,McDonald's,coffee,Food
E1186,616.42,Airlines,tourism,Travel
E1540,359.37,401k,savings plan,Saving
E1057,102.57,Walgreens,health checkup,Other
E1475,48.05,Daycare,school fees,Kids
E585,67.58,Concert Hall,theater tickets,Entertainment
E1293,238.55,Discover,debt payment,Debt/Loans
E1300,413.53,Loan Company,car loan,Debt/Loans
E334,38.38,Uber,parking fee,Transport
E1002,294.8,Pharmacy,medicine,Other
E838,52.94,Amazon,online shopping,Other
E1520,555.24,401k,savings plan,Saving
E1020,306.89,Pharmacy,medical expense,Other
E419,82.19,AT&T,phone bill,Utilities
E1098,804.83,Coursera,online course,School
E1269,719.43,Bank,credit card payment,Debt/Loans
E1314,424.53,Lending Company,student loan,Debt/Loans
E90,83.16,Pizza Hut,meat and vegetables,Food
E3,43.98,Panera Bread,meat and vegetables,Food
E1032,283.56,Pharmacy,doctor visit,Other
E392,227.81,Phone Company,heating,Utilities
E1187,762.29,Southwest,tourism,Travel
E1330,430.11,Credit Card,car loan,Debt/Loans
E758,124.4,State Farm,medical insurance,Insurance
E886,178.94,Nike,online shopping,Other
E1209,774.14,Airlines,travel expenses,Travel
E490,2294.52,Property Management,rental fee,Rent/Mortgage
E1201,1051.25,Airbnb,hotel booking,Travel
E583,57.6,Netflix,music subscription,Entertainment
E538,2044.11,Property Management,house payment,Rent/Mortgage
E787,187.54,Geico,insurance payment,Insurance
E37,36.07,KFC,weekly groceries,Food
E853,260.5,Nordstrom,clothing purchase,Other
E1109,263.66,University,tuition,School
E352,143.65,Verizon,monthly utilities,Utilities
E562,1524.72,Property Management,house payment,Rent/Mortgage
E592,72.86,Cinema,streaming service,Entertainment
E1455,142.49,Babysitter,toys,Kids
E1138,507.65,Coursera,school supplies,School
E815,119.01,Geico,medical insurance,Insurance
E676,27.69,Theater,netflix subscription,Entertainment
E470,69.2,Internet Provider,utility payment,Utilities
E604,43.5,HBO Max,gaming,Entertainment
E528,2311.31,Apartment Complex,monthly rent,Rent/Mortgage
E1296,464.45,Credit Card,mortgage interest,Debt/Loans
E1373,217.18,Oil Change,car parts,Car
E944,90.02,Department Store,electronics,Other
E188,85.66,Starbucks,burger,Food
E877,232.03,Zara,household items,Other
E186,76.07,Starbucks,meal,Food
E710,79.31,PlayStation,streaming service,Entertainment
E139,7.48,Food Truck,food shopping,Food
E616,69.63,Netflix,spotify premium,Entertainment
E629,66.72,Netflix,streaming service,Entertainment
E131,9.29,Taco Bell,groceries shopping,Food
E281,83.0,Taxi,subway fare,Transport
E1441,145.15,Toy Store,kids necessities,Kids
E15,51.12,Burger King,supermarket,Food
E50,37.73,Subway,dinner,Food
E987,166.13,Doctor Office,pharmacy,Other
E486,2369.19,Housing Authority,lease payment,Rent/Mortgage
E863,184.13,Best Buy,online shopping,Other
E871,244.97,Nike,gadgets,Other
E230,19.9,Shell,fuel,Transport
E1547,794.01,Bank,investment,Saving
E1058,301.02,Clinic,medication,Other
E911,195.34,Online Store,household items,Other
E375,261.12,Gas Company,gas bill,Utilities
E1003,250.88,Medical Center,medical appointment,Other
E1124,950.95,Education Center,textbooks,School
E1416,226.47,Oil Change,car maintenance,Car
E1329,174.18,Wells Fargo,credit payment,Debt/Loans
E985,268.98,Dentist,health checkup,Other
E1523,447.5,Investment,savings transfer,Saving
E173,25.02,Food Truck,food shopping,Food
E332,100.75,Parking Lot,uber ride,Transport
E683,61.85,Steam,spotify premium,Entertainment
E1480,102.91,School,kids clothes,Kids
E588,77.3,Cinema,concert ticket,Entertainment
E399,147.4,Phone Company,electricity bill,Utilities
E172,36.48,Cafe,food shopping,Food
E903,299.03,Amazon,clothing purchase,Other
E701,61.05,Disney+,shows,Entertainment
E107,73.3,Dunkin Donuts,fast food,Food
E925,68.78,Best Buy,clothing purchase,Other
E377,263.91,Gas Company,internet bill,Utilities
E1348,78.19,Auto Parts,vehicle maintenance,Car
E306,75.89,Parking Lot,transportation,Transport
E1050,211.46,Dentist,hospital bill,Other
E249,83.75,Chevron,subway fare,Transport
E672,10.9,Cinema,theater tickets,Entertainment
E2,96.91,Burger King,sandwich,Food
E1471,73.08,School,school fees,Kids
E1408,405.62,Oil Change,auto repair,Car
E1274,751.71,Discover,debt payment,Debt/Loans
E191,15.09,Subway,dinner,Food
E568,1506.85,Bank,housing payment,Rent/Mortgage
E1368,231.66,Mechanic,car wash,Car
E1068,319.69,Pharmacy,doctor visit,Other
E1145,611.01,Education Center,education,School
E1227,1170.56,Southwest,hotel booking,Travel
E974,34.58,Medical Center,medication,Other
E283,82.32,Uber,bus ticket,Transport
E1401,392.49,Service Center,vehicle maintenance,Car
E473,2118.31,Real Estate,monthly rent,Rent/Mortgage
E872,92.67,Nordstrom,accessories,Other
E1396,216.78,Car Dealer,tire replacement,Car
E626,54.28,Xbox,netflix subscription,Entertainment
E62,38.7,Taco Bell,fast food,Food
E637,17.96,Xbox,entertainment subscription,Entertainment
E368,165.68,AT&T,cooling,Utilities
E1239,680.66,Booking.com,flight ticket,Travel
E789,487.54,Geico,medical insurance,Insurance
E1189,958.01,Travel Agency,travel booking,Travel
E837,63.08,Walmart,gadgets,Other
E1285,529.56,Chase,student loan,Debt/Loans
E1134,206.29,Education Center,school supplies,School
E966,113.67,Nike,tech purchase,Other
E749,471.56,Insurance Co,insurance payment,Insurance
E677,21.41,Xbox,concert ticket,Entertainment
E384,265.32,Comcast,energy bill,Utilities
E51,69.87,Pizza Hut,snack,Food
E1490,47.6,Toys R Us,kids activities,Kids
E644,76.41,Concert Hall,music subscription,Entertainment
E1298,277.37,Bank,debt payment,Debt/Loans
E1466,118.64,Daycare,kids necessities,Kids
E381,65.49,Water Dept,heating,Utilities
E1331,259.69,Auto Shop,tire replacement,Car
E287,113.46,Lyft,parking fee,Transport
E1434,144.24,Daycare,school fees,Kids
E401,185.29,Gas Company,energy bill,Utilities
E707,73.82,Cinema,movies,Entertainment
E533,1265.36,Apartment Complex,rent payment,Rent/Mortgage
E1001,73.71,Clinic,medicine,Other
E106,81.03,Taco Bell,takeout,Food
E1019,103.4,Walgreens,pharmacy,Other
E1411,220.3,Service Center,car wash,Car
E1042,320.74,Clinic,medical expense,Other
E799,282.4,Auto Insurance,insurance premium,Insurance
E262,92.35,Parking Lot,taxi fare,Transport
E80,57.05,Food Truck,food shopping,Food
E922,180.87,Department Store,gadgets,Other
E689,49.68,Disney+,streaming service,Entertainment
E1343,370.43,Car Dealer,auto repair,Car
E1279,462.85,Lending Company,mortgage interest,Debt/Loans
E1097,968.58,Library,training,School
E823,81.97,Best Buy,electronics,Other
E185,79.48,Panera Bread,sandwich,Food
E1036,357.92,Walgreens,doctor visit,Other
E1177,171.31,Delta,accommodation,Travel
E909,260.56,Amazon,retail shopping,Other
E782,374.25,Allstate,life insurance,Insurance
E1115,918.54,Coursera,study materials,School
E936,78.2,Amazon,home goods,Other
E79,19.48,KFC,supermarket,Food
E885,66.02,Amazon,home goods,Other
E148,45.87,Chipotle,lunch,Food
E1140,121.57,Udemy,tuition,School
E825,109.16,Online Store,household items,Other
E1307,366.18,Credit Card,car loan,Debt/Loans
E243,33.63,Chevron,uber ride,Transport
E370,282.57,Comcast,utility payment,Utilities
E775,312.17,Insurance Co,health insurance,Insurance
E783,324.41,Insurance Co,insurance premium,Insurance
E197,73.61,Subway,sandwich,Food
E688,68.78,Xbox,gaming,Entertainment
E1297,504.77,Capital One,loan payment,Debt/Loans
E1062,256.32,Clinic,hospital bill,Other
E577,45.3,PlayStation,netflix subscription,Entertainment
E557,1266.34,Mortgage Company,house payment,Rent/Mortgage
E881,75.8,Nordstrom,electronics,Other
E1460,68.3,Daycare,school fees,Kids
E638,70.42,Steam,concert ticket,Entertainment
E813,371.42,State Farm,medical insurance,Insurance
E1511,781.27,IRA,retirement contribution,Saving
E73,84.38,Subway,meat and vegetables,Food
E1091,110.32,Udemy,textbooks,School
E858,87.94,Nike,tech purchase,Other
E1462,80.79,Daycare,kids necessities,Kids
E1537,915.95,Brokerage,savings deposit,Saving
E1481,29.14,Toy Store,children supplies,Kids
E1453,95.23,Daycare,babysitting,Kids
E187,85.34,Panera Bread,meal,Food
E1012,230.57,Dentist,medicine,Other
E417,73.41,City Utilities,internet bill,Utilities
E743,162.95,Health Insurance,life insurance,Insurance
E706,49.55,Amazon Prime,netflix subscription,Entertainment
E963,183.77,Target,shoes,Other
E1083,336.58,University,school supplies,School
E507,1612.84,Bank,apartment rent,Rent/Mortgage
E905,98.89,H&M,tech purchase,Other
E828,276.99,Zara,electronics,Other
E1527,850.39,IRA,retirement contribution,Saving
E65,69.33,Pizza Hut,food shopping,Food
